E/Trace   (  963): error opening trace file: No such file or directory (2)
I/ARMAssembler(   59): generated scanline__00000077:03010104_00008002_00000000 [ 89 ipp] (110 ins) at [0xb5dcb710:0xb5dcb8c8] in 0 ns
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "6c69622f6c696262696e6465722e736f2028616e64726f69643a3a49504354687265616453746174653a3a65786563757465436f6d6d616e6428696e74292b353230290a20202331362020706320303030313734333920202f73797374656d2f6c69622f", "id": "40904930" } }
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "1179645956" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "202f73797374656d2f6c69622f6c696262696e6465722e736f2028616e64726f69643a3a49504354687265616453746174653a3a6a6f696e546872656164506f6f6c28626f6f6c292b313534290a20202330342020706320303030316232363920202f73", "id": "1179645956" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "1275188957" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "61645f6372656174652b313732290a20206174206c6962636f72652e696f2e506f7369782e67657461646472696e666f284e6174697665204d6574686f64290a20206174206c6962636f72652e696f2e466f7277617264696e674f732e67657461646472", "id": "1275188957" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "90265723" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "6e203c307862336533336265383e20286120636f6d2e616e64726f69642e7365727665722e5761746368646f67290a20206174206a6176612e6c616e672e4f626a6563742e77616974284f626a6563742e6a6176613a343031290a2020617420636f6d2e", "id": "90265723" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "2135632492" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "20706320303030313437353120202f73797374656d2f6c69622f6c69627574696c732e736f2028616e64726f69643a3a4c6f6f7065723a3a706f6c6c496e6e657228696e74292b3936290a20202330322020706320303030313439616420202f73797374", "id": "2135632492" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "1976128954" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "206473436f756e743d30206f626a3d307862343033653635382073656c663d307862376566623262300a20207c207379735469643d333538206e6963653d302073636865643d302f3020636772703d617070732068616e646c653d2d3132303930323939", "id": "1976128954" } }
E/WVMExtractor(   62): Failed to open libwvm.so
W/BackupManagerService(  227): dataChanged but no participant pkg='com.android.providers.settings' uid=10011
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "713083621" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "204d6574686f6420636f6e73742a2c205468726561642a292b343132290a20202330362020706320303030336366663120202f73797374656d2f6c69622f6c696264766d2e736f202864766d436865636b43616c6c4a4e494d6574686f6428756e736967", "id": "713083621" } }
E/MetadataRetrieverClient(   62): failed to extract an album art
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "1825931357" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "72536572766963652e64756d70537461636b5472616365732841637469766974794d616e61676572536572766963652e6a6176613a33303436290a2020617420636f6d2e616e64726f69642e7365727665722e616d2e41637469766974794d616e616765", "id": "1825931357" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "991198401" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "20706320303030313235313420202f73797374656d2f6c69622f6c6962632e736f2028707468726561645f6372656174652b313732290a2020617420616e64726f69642e6f732e4d65737361676551756575652e6e6174697665506f6c6c4f6e6365284e", "id": "991198401" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "1138355541" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "20616e64726f69642e6f732e4d65737361676551756575652e6e6174697665506f6c6c4f6e6365284e6174697665204d6574686f64290a2020617420616e64726f69642e6f732e4d65737361676551756575652e6e657874284d65737361676551756575", "id": "1138355541" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "1246594896" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "686f6420636f6e73742a2c204a56616c75652a2c20756e7369676e656420696e742a292b313838290a20202330392020706320303030363339643520202f73797374656d2f6c69622f6c696264766d2e736f202864766d43616c6c4d6574686f64562854", "id": "1246594896" } }
W/BackupManagerService(  227): dataChanged but no participant pkg='com.android.providers.settings' uid=1001
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "565020241" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "636f6e73742a292b333930290a20202331382020706320303030303064636620202f73797374656d2f62696e2f6170705f70726f636573730a20202331392020706320303030313730636220202f73797374656d2f6c69622f6c6962632e736f20285f5f", "id": "565020241" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "2009339902" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "69622f6c696262696e6465722e736f2028616e64726f69643a3a49504354687265616453746174653a3a7472616e7361637428696e742c20756e7369676e656420696e742c20616e64726f69643a3a50617263656c20636f6e7374262c20616e64726f69", "id": "2009339902" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "679607395" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "7c207379735469643d363035206e6963653d302073636865643d302f3020636772703d617070732068616e646c653d2d313230393539343431360a20207c207363686564737461743d282031313030303030303020353630303030303030203136302029", "id": "679607395" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "1282127707" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "2e736f202864766d496e74657270726574285468726561642a2c204d6574686f6420636f6e73742a2c204a56616c75652a2c20756e7369676e656420696e742a292b313838290a20202330392020706320303030363339643520202f73797374656d2f6c", "id": "1282127707" } }
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "1244238523" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "290a20206174206a6176612e6c616e672e5468726561642e72756e285468726561642e6a6176613a383536290a0a2246696e616c697a65724461656d6f6e22206461656d6f6e207072696f3d35207469643d3620574149540a20207c2067726f75703d22", "id": "1244238523" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "152669786" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "20207c207379735469643d393830206e6963653d302073636865643d302f3020636772703d617070732068616e646c653d2d313230393736343339320a20207c207363686564737461743d28203530303030303030203930303030303030203135372029", "id": "152669786" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "285130290" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "2e4e617469766553746172742e6d61696e284e6174697665204d6574686f64290a0a224163636f756e744368616e67654c697374656e657222207072696f3d35207469643d3133204e41544956450a20207c2067726f75703d226d61696e222073436f75", "id": "285130290" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "781548902" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "303636353635360a20207c207363686564737461743d282030203130303030303030203420292075746d3d302073746d3d3020636f72653d300a20202330302020706320303030306437323820202f73797374656d2f6c69622f6c6962632e736f202872", "id": "781548902" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "871385575" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "496e74657270726574285468726561642a2c204d6574686f6420636f6e73742a2c204a56616c75652a2c20756e7369676e656420696e742a292b313838290a20202330392020706320303030363339643520202f73797374656d2f6c69622f6c69626476", "id": "871385575" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "898974902" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "726f69642e6170702e41637469766974795468726561642e6d61696e2841637469766974795468726561642e6a6176613a34373435290a20206174206a6176612e6c616e672e7265666c6563742e4d6574686f642e696e766f6b654e6174697665284e61", "id": "898974902" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "1745168895" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "306620202f73797374656d2f6c69622f6c69627574696c732e736f2028616e64726f69643a3a5468726561643a3a5f7468726561644c6f6f7028766f69642a292b313134290a20202330362020706320303030343437663320202f73797374656d2f6c69", "id": "1745168895" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353231335d", "id": "328652731" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "2a2c204a56616c75652a2c204d6574686f6420636f6e73742a2c205468726561642a292b38290a2020617420616e64726f69642e6d656469612e4d656469615363616e6e65722e70726f6365737346696c65284e6174697665204d6574686f64290a2020", "id": "328652731" } }
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "706970653a5b353238385d", "id": "1866540964" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "write", "data": "4170706c69636174696f6e73204d656d6f727920557361676520286b42293a0a557074696d653a20313438333238205265616c74696d653a203134383332380a0a546f74616c205053532062792070726f636573733a0a202020203234303931206b423a", "id": "1866540964" } }
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353238385d", "id": "1261721426" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "4170706c69636174696f6e73204d656d6f727920557361676520286b42293a0a557074696d653a20313438333238205265616c74696d653a203134383332380a0a546f74616c205053532062792070726f636573733a0a202020203234303931206b423a", "id": "1261721426" } }
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  943): DroidBox: { "FdAccess": { "path": "706970653a5b353238385d", "id": "115508249" } }
W/DroidBox(  943): DroidBox: { "FileRW": { "operation": "read", "data": "00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "115508249" } }
I/AndroidRuntime(  943): VM exiting with result code 4.
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/BackupManagerService(  227): dataChanged but no participant pkg='com.android.providers.settings' uid=10011
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/MetadataRetrieverClient(   62): failed to extract an album art
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
I/NetworkPolicy(  227): no policy for active mobile network; generating default policy
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/NetdConnector(  227): NDC Command {11 bandwidth setiquota eth0 9223372036854775807} took too long (1021ms)
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/NetdConnector(  227): NDC Command {13 bandwidth setiquota eth0 9223372036854775807} took too long (887ms)
E/WVMExtractor(   62): Failed to open libwvm.so
E/MetadataRetrieverClient(   62): failed to extract an album art
E/WVMExtractor(   62): Failed to open libwvm.so
E/MetadataRetrieverClient(   62): failed to extract an album art
I/ActivityManager(  227): No longer want com.android.contacts (pid 686): hidden #16
I/UmAd SDK(  963): Server replied that no ads are available (80524ms)
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3232372f6e65742f78745f717461677569642f69666163655f737461745f616c6c", "id": "308527470" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "65746830203120302030203020302032393733343520323031382032363137353920313737340a6c6f20312030203020302030203337333620353320333733362035330a0000000000000000000000000000000000000000000000000000000000000000", "id": "308527470" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3232372f6e65742f78745f717461677569642f69666163655f737461745f616c6c", "id": "1999282341" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "35330a362035330a35330a362035330a330a330a330a330a330a35330a362035330a3733362035330a362035330a3733362035330a330a330a330a330a330a362035330a0000000000000000000000000000000000000000000000000000000000000000", "id": "1999282341" } }
W/ThrottleService(  227): unable to find stats for iface rmnet0
E/ThrottleService(  227): Error reading data file
I/qtaguid (  227): Failed write_ctrl(s 1 10050) res=-1 errno=1
W/NetworkManagementSocketTagger(  227): setKernelCountSet(10050, 1) failed with errno -1
I/qtaguid (  227): Failed write_ctrl(s 0 10019) res=-1 errno=1
W/NetworkManagementSocketTagger(  227): setKernelCountSet(10019, 0) failed with errno -1
I/UmAd SDK(  963): Server replied that no ads are available (80323ms)
I/UmAd SDK(  963): Server replied that no ads are available (80359ms)
