I/ActivityThread(  924): Pub com.android.mms.SuggestionsProvider: com.android.mms.SuggestionsProvider
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  936): DroidBox: { "FdAccess": { "path": "2f6465762f7572616e646f6d", "id": "417328132" } }
E/WVMExtractor(   62): Failed to open libwvm.so
W/DroidBox(  936): DroidBox: { "FileRW": { "operation": "read", "data": "efbfbd6cefbfbd2f6befbfbd43efbfbd3960efbfbdefbfbde88ba6efbfbdefbfbd224defbfbd", "id": "417328132" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
D/PackageManager(  228): generateServicesMap(android.accounts.AccountAuthenticator): 2 services unchanged
I/InputReader(  228): Reconfiguring input devices.  changes=0x00000010
D/PackageManager(  228): generateServicesMap(android.content.SyncAdapter): 4 services unchanged
I/AccountTypeManager(  697): Loaded meta-data for 1 account types, 0 accounts in 60ms(wall) 0ms(cpu)
W/dalvikvm(  882): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e67616c6c65727933642f7368617265645f70726566732f636f6d2e616e64726f69642e67616c6c65727933645f707265666572656e6365732e786d6c", "id": "1252204338" } }
W/DroidBox(  882): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d227061636b616765732d76657273696f6e222076616c75653d2238", "id": "1252204338" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  936): DroidBox: { "FdAccess": { "path": "706970653a5b353130335d", "id": "1667969304" } }
W/DroidBox(  936): DroidBox: { "FileRW": { "operation": "read", "data": "00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1667969304" } }
W/dalvikvm(  936): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e657874656e642e626174746572792f7368617265645f70726566732f696e7374616c6c2e786d6c", "id": "412859827" } }
W/DroidBox(  936): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c626f6f6c65616e206e616d653d226669727374222076616c75653d2266616c736522202f", "id": "412859827" } }
E/WVMExtractor(   62): Failed to open libwvm.so
D/Localytics(  936): KEY=device_id
W/dalvikvm(  936): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e657874656e642e626174746572792f7368617265645f70726566732f73717565657a655f70726566732e786d6c", "id": "1226131865" } }
W/DroidBox(  936): DroidBox: { "DataLeak": { "sink": "File", "operation": "write", "tag": "0x400", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c737472696e67206e616d653d22637573746f6d5f746167223e36383c2f737472696e673e", "id": "1226131865" } }
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "1365199007" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "0a0a2d2d2d2d2d207069642032323820617420323032342d31302d30332031393a34363a3530202d2d2d2d2d0a436d64206c696e653a2073797374656d5f7365727665720a0a44414c56494b20544852454144533a0a286d7574657865733a20746c6c3d", "id": "1365199007" } }
D/Localytics(  936): KEY=device_id
W/dalvikvm(  936): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e657874656e642e626174746572792f7368617265645f70726566732f73717565657a655f70726566732e786d6c", "id": "781775927" } }
W/DroidBox(  936): DroidBox: { "DataLeak": { "sink": "File", "operation": "write", "tag": "0x400", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c737472696e67206e616d653d22637573746f6d5f746167223e36383c2f737472696e673e", "id": "781775927" } }
W/System.err(  936): java.lang.NullPointerException
W/System.err(  936): 	at com.mobileapptracker.b.E(Unknown Source)
W/System.err(  936): 	at com.mobileapptracker.b.b(Unknown Source)
W/System.err(  936): 	at com.extend.battery.bj.run(Unknown Source)
D/buildLink(  936): encryption broken
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  936): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e657874656e642e626174746572792f7368617265645f70726566732f4861734f66666572732e786d6c", "id": "773321598" } }
W/DroidBox(  936): DroidBox: { "DataLeak": { "sink": "File", "operation": "write", "tag": "0x408", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c737472696e67206e616d653d2231223e687474703a2f2f313131332e656e67696e652e6d", "id": "773321598" } }
V/Localytics(  936): Opening new session
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "1391571909" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "706320303030313264623020202f73797374656d2f6c69622f6c6962632e736f20285f5f7468726561645f656e7472792b3438290a20202330372020706320303030313235313420202f73797374656d2f6c69622f6c6962632e736f2028707468726561", "id": "1391571909" } }
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "949808483" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "6262696e6465722e736f2028616e64726f69643a3a49504354687265616453746174653a3a74616c6b5769746844726976657228626f6f6c292b313234290a20202330332020706320303030313734316220202f73797374656d2f6c69622f6c69626269", "id": "949808483" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "1107466383" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "74686f6428756e7369676e656420696e7420636f6e73742a2c204a56616c75652a2c204d6574686f6420636f6e73742a2c205468726561642a292b343132290a20202330362020706320303030336366663120202f73797374656d2f6c69622f6c696264", "id": "1107466383" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "2052054918" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "64290a2020617420616e64726f69642e6f732e4d65737361676551756575652e6e657874284d65737361676551756575652e6a6176613a313235290a2020617420616e64726f69642e6f732e4c6f6f7065722e6c6f6f70284c6f6f7065722e6a6176613a", "id": "2052054918" } }
W/BackupManagerService(  228): dataChanged but no participant pkg='com.android.providers.settings' uid=1001
W/dalvikvm(  936): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e657874656e642e626174746572792f7368617265645f70726566732f696e7374616c6c2e786d6c", "id": "12228726" } }
W/DroidBox(  936): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c737472696e67206e616d653d22696e7374616c6c223e696e7374616c6c65643c2f737472", "id": "12228726" } }
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "2015732223" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "74686f6420636f6e73742a2c204f626a6563742a2c204a56616c75652a2c202e2e2e292b3230290a20202331312020706320303030353834623920202f73797374656d2f6c69622f6c696264766d2e736f0a202023313220207063203030303132646230", "id": "2015732223" } }
I/ActivityManager(  228): START {cmp=com.extend.battery/.TabHandler u=0} from pid 936
E/WVMExtractor(   62): Failed to open libwvm.so
W/WindowManager(  228): Failure taking screenshot for (246x410) to layer 21010
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "1448965746" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "7369676e656420696e742a292b313838290a20202330392020706320303030363339643520202f73797374656d2f6c69622f6c696264766d2e736f202864766d43616c6c4d6574686f6456285468726561642a2c204d6574686f6420636f6e73742a2c20", "id": "1448965746" } }
W/DroidBox(  936): DroidBox: { "ServiceStart": { "name": "com.extend.battery.BatteryService" } }
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "496290251" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "3536290a0a22566f6c64436f6e6e6563746f722e43616c6c6261636b48616e646c657222207072696f3d35207469643d3332204e41544956450a20207c2067726f75703d226d61696e222073436f756e743d31206473436f756e743d30206f626a3d3078", "id": "496290251" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f313036322f636d646c696e65", "id": "1645098573" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636174002f646174612f616e722f7472616365732e7478740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "1645098573" } }
E/WVMExtractor(   62): Failed to open libwvm.so
V/Localytics(  936): Opening old unclosed session and reconnecting
I/dalvikvm-heap(  936): Grow heap (frag case) to 11.220MB for 1000016-byte allocation
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "499368284" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "2a292b313838290a20202331302020706320303030363339643520202f73797374656d2f6c69622f6c696264766d2e736f202864766d43616c6c4d6574686f6456285468726561642a2c204d6574686f6420636f6e73742a2c204f626a6563742a2c2062", "id": "499368284" } }
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "1558557938" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "6c75652a2c204d6574686f6420636f6e73742a2c205468726561642a292b38290a20202330372020706320303030333130323420202f73797374656d2f6c69622f6c696264766d2e736f202864766d496e74657270726574506f727461626c6528546872", "id": "1558557938" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "663591422" } }
D/ExchangeService(  860): Received deviceId from Email app: androidc1412937439
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "642a292b343132290a20202330362020706320303030336366663120202f73797374656d2f6c69622f6c696264766d2e736f202864766d436865636b43616c6c4a4e494d6574686f6428756e7369676e656420696e7420636f6e73742a2c204a56616c75", "id": "663591422" } }
D/ExchangeService(  860): Reconciling accounts...
E/WVMExtractor(   62): Failed to open libwvm.so
E/MP3Extractor(   62): Unable to resync. Signalling end of stream.
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "1205638085" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "207379735469643d323338206e6963653d302073636865643d302f3020636772703d617070732068616e646c653d2d313230343838393030380a20207c207363686564737461743d28203932303030303030302033313030303030303030203534322029", "id": "1205638085" } }
I/ActivityManager(  228): No longer want com.android.provision (pid 580): hidden #16
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "1956274195" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "202e2e2e292b3230290a20202331312020706320303030353834623920202f73797374656d2f6c69622f6c696264766d2e736f0a20202331322020706320303030313264623020202f73797374656d2f6c69622f6c6962632e736f20285f5f7468726561", "id": "1956274195" } }
V/PhoneStatusBar(  422): setLightsOn(true)
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "1517729442" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "33303030303030302031323030303030303020353220292075746d3d312073746d3d3220636f72653d300a20202330302020706320303030306461343020202f73797374656d2f6c69622f6c6962632e736f202865706f6c6c5f776169742b3132290a20", "id": "1517729442" } }
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "2012597387" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "6e6174697665506f6c6c4f6e6365284e6174697665204d6574686f64290a2020617420616e64726f69642e6f732e4d65737361676551756575652e6e657874284d65737361676551756575652e6a6176613a313235290a2020617420616e64726f69642e", "id": "2012597387" } }
E/WVMExtractor(   62): Failed to open libwvm.so
D/BoosterActivity(  936): sd_card_total 93620*4096=383467520
D/BoosterActivity(  936): phone_storage_total 516052*4096=2113748992
D/BoosterActivity(  936): phone_storage_used 45682688
E/WVMExtractor(   62): Failed to open libwvm.so
D/BoosterActivity(  936): phone_storage_free 2068054016
D/BoosterActivity(  936): sd_card_used 1843200
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "1594545932" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "656d2f6c69622f6c696264766d2e736f202864766d43616c6c4d6574686f64285468726561642a2c204d6574686f6420636f6e73742a2c204f626a6563742a2c204a56616c75652a2c202e2e2e292b3230290a2020233131202070632030303035383462", "id": "1594545932" } }
D/BoosterActivity(  936): sd_card_free 381620224
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "362286119" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "3d393733206e6963653d31302073636865643d302f3020636772703d617070732f62675f6e6f6e5f696e7465726163746976652068616e646c653d2d313230343837363034380a20207c207363686564737461743d282030203132333030303030303020", "id": "362286119" } }
I/Choreographer(  936): Skipped 895 frames!  The application may be doing too much work on its main thread.
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "384517036" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "5469643d31303030206e6963653d302073636865643d302f3020636772703d617070732068616e646c653d2d313230343632373532300a20207c207363686564737461743d282030203530303030303030203220292075746d3d302073746d3d3020636f", "id": "384517036" } }
W/ActivityManager(  228): Launch timeout has expired, giving up wake lock!
E/WVMExtractor(   62): Failed to open libwvm.so
W/ActivityManager(  228): Activity idle timeout for ActivityRecord{b40b2bc0 com.extend.battery/.TabHandler}
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "1353739978" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "653d300a2020617420616e64726f69642e6f732e42696e64657250726f78792e7472616e73616374284e6174697665204d6574686f64290a2020617420616e64726f69642e6170702e41637469766974794d616e6167657250726f78792e676574496e74", "id": "1353739978" } }
I/Choreographer(  936): Skipped 453 frames!  The application may be doing too much work on its main thread.
E/WVMExtractor(   62): Failed to open libwvm.so
I/ActivityManager(  228): Displayed com.extend.battery/.TabHandler: +11s275ms
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "1718426589" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "69676e656420696e742a292b313838290a20202331332020706320303030363339643520202f73797374656d2f6c69622f6c696264766d2e736f202864766d43616c6c4d6574686f6456285468726561642a2c204d6574686f6420636f6e73742a2c204f", "id": "1718426589" } }
I/ARMAssembler(   59): generated scanline__00000077:03515104_00009001_00000000 [131 ipp] (153 ins) at [0xb5d1a8d0:0xb5d1ab34] in 0 ns
I/Choreographer(  936): Skipped 88 frames!  The application may be doing too much work on its main thread.
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "1341449934" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "202f73797374656d2f6c69622f6c6962632e736f20285f5f7468726561645f656e7472792b3438290a20202330392020706320303030313235313420202f73797374656d2f6c69622f6c6962632e736f2028707468726561645f6372656174652b313732", "id": "1341449934" } }
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "1578423642" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "363031360a20207c207363686564737461743d282031303030303030302032333030303030303020313920292075746d3d312073746d3d3020636f72653d300a20202330302020706320303030306362363020202f73797374656d2f6c69622f6c696263", "id": "1578423642" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "1000377570" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "6e616c697a65725761746368646f674461656d6f6e22206461656d6f6e207072696f3d35207469643d3720574149540a20207c2067726f75703d2273797374656d222073436f756e743d31206473436f756e743d30206f626a3d30786233653130383530", "id": "1000377570" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353136335d", "id": "2146831564" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "6974652e53514c69746553657373696f6e2e65786563757465466f724c617374496e736572746564526f7749642853514c69746553657373696f6e2e6a6176613a373838290a2020617420616e64726f69642e64617461626173652e73716c6974652e53", "id": "2146831564" } }
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f313037382f636d646c696e65", "id": "1264501402" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e657874656e642e626174746572790000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "1264501402" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f313038342f636d646c696e65", "id": "201273553" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "64756d70737973006d656d696e666f0072790000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "201273553" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "706970653a5b353235345d", "id": "1948941075" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "write", "data": "4170706c69636174696f6e73204d656d6f727920557361676520286b42293a0a557074696d653a20313530333332205265616c74696d653a203135303333320a0a546f74616c205053532062792070726f636573733a0a202020203239393838206b423a", "id": "1948941075" } }
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353235345d", "id": "1422604098" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "4170706c69636174696f6e73204d656d6f727920557361676520286b42293a0a557074696d653a20313530333332205265616c74696d653a203135303333320a0a546f74616c205053532062792070726f636573733a0a202020203239393838206b423a", "id": "1422604098" } }
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "706970653a5b353235345d", "id": "1143580498" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "read", "data": "00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1143580498" } }
I/AndroidRuntime(  894): VM exiting with result code 11.
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
I/NetworkPolicy(  228): no policy for active mobile network; generating default policy
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/NetdConnector(  228): NDC Command {11 bandwidth setiquota eth0 9223372036854775807} took too long (1231ms)
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/NetdConnector(  228): NDC Command {12 bandwidth removeiquota eth0} took too long (730ms)
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/NetdConnector(  228): NDC Command {13 bandwidth setiquota eth0 9223372036854775807} took too long (1426ms)
V/Localytics(  936): Opening new session
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
V/Localytics(  936): Opening old closed session and reconnecting
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/BackupManagerService(  228): dataChanged but no participant pkg='com.android.providers.settings' uid=10011
E/WVMExtractor(   62): Failed to open libwvm.so
E/MetadataRetrieverClient(   62): failed to extract an album art
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  936): DroidBox: { "FdAccess": { "path": "706970653a5b353231375d", "id": "485458374" } }
W/DroidBox(  936): DroidBox: { "FileRW": { "operation": "read", "data": "5553455220202020205049442020205050494420205653495a4520205253532020202020574348414e2020202050432020202020202020204e414d450a726f6f742020202020203120202020203020202020203334342020202032303820202066666666", "id": "485458374" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/dalvikvm(  936): DroidBox: { "FdAccess": { "path": "706970653a5b353231375d", "id": "57882265" } }
W/DroidBox(  936): DroidBox: { "FileRW": { "operation": "read", "data": "2020373832202020363020202020313733323336203334303430206666666666666666203030303030303030205320616e64726f69642e70726f636573732e6d656469610a75305f61382020202020383138202020363020202020313638313438203330", "id": "57882265" } }
W/dalvikvm(  936): DroidBox: { "FdAccess": { "path": "706970653a5b353231375d", "id": "860465531" } }
W/DroidBox(  936): DroidBox: { "FileRW": { "operation": "read", "data": "00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "860465531" } }
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
W/BackupManagerService(  228): dataChanged but no participant pkg='com.android.providers.settings' uid=10011
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/MetadataRetrieverClient(   62): failed to extract an album art
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
